"","longname","shortname","slave","continent","neoeuro","hemisphere","risk","latitude","edes1975","malfal94","mort0","gdp","population","land","density","average_temperature"
"PAN","Panama","PAN",0,"America",0,"South",5.90999984741211,0.100000001490116,20,0.0800400003790855,163.300026281956,6904.99369397364,4515577,74180,60.873240765705,25.6
"PER","Peru","PER",0,"America",0,"South",5.76999998092651,0.111100003123283,30.0000019073486,0.000500000023748726,71.0000125435443,4447.06505127884,34217848,1280000,26.73269375,20.07
"PRY","Paraguay","PRY",0,"America",0,"South",6.94999980926514,0.25560000538826,25,0,78.1000162484675,3677.54260655331,6929153,397300,17.440606594513,23.92
"SDN","Sudan","SDN",0,"Africa",0,"North",4,0.166700005531311,0,0.930999994277954,88.2000125457789,1495.17710363673,50448963,1868000,27.0069395074946,27.95
"SEN","Senegal","SEN",0,"Africa",0,"North",6,0.155599996447563,0,0.949999988079071,164.660007861122,1635.98458601557,18501984,192530,96.0992260946346,28.9
"SGP","Singapore","SGP",0,"Asia",0,"North",9.31999969482422,0.0136000001803041,0,0,17.7000014261603,25591.0924444608,6036860,718,8407.88300835655,27.68
"SLE","Sierra Leone","SLE",0,"Africa",0,"North",5.82000017166138,0.0922000035643578,0,0.949999988079071,482.999934305526,518.012824668342,8642022,72180,119.728761429759,26.54
"SLV","El Salvador","SLV",0,"America",0,"North",5,0.150000005960464,20,0,78.1000162484675,2835.57440963156,6338193,20720,305.897345559846,25.23
"TGO","Togo","TGO",0,"Africa",0,"North",6.90999984741211,0.0888999998569489,0,0.949999988079071,668.000015382086,1366.48877400746,9515236,54390,174.944585401728,27.33
"TTO","Trinidad and Tobago","TTO",0,"America",0,"North",7.44999980926514,0.12219999730587,40,0,85.0000013030289,6438.17541152548,1368333,5130,266.731578947368,26.55
"TUN","Tunisia","TUN",0,"Africa",0,"North",6.44999980926514,0.377799987792969,0,0,62.9999916570422,4817.44769161754,12277109,155360,79.0236161174047,20.53
"TZA","Tanzania","TZA",1,"Africa",0,"South",6.6399998664856,0.0666999965906143,0,0.921500027179718,144.999991607287,518.012824668342,68560157,885800,77.3991386317453,22.92
"UGA","Uganda","UGA",0,"Africa",0,"South",4.44999980926514,0.0110999997705221,0,0.949999988079071,279.999961832828,1064.2225272553,50015092,200520,249.426949930182,23.25
"URY","Uruguary","URY",0,"America",0,"South",7,0.366699993610382,90,0,71.0000125435443,8349.85734252317,3386588,175020,19.3497200319963,17.97
"USA","USA","USA",0,"America",1,"North",10,0.422199994325638,83.6000061035156,0,15.0000007485731,27446.6738130392,340110988,9147420,37.1810836279519,9.46
"VEN","Venezuela","VEN",0,"America",0,"North",7.1399998664856,0.0888999998569489,20,0.00704000005498528,78.1000162484675,8690.62115354664,28300854,882050,32.0853171588912,25.71
"VNM","Vietnam","VNM",0,"Asia",0,"North",6.40999984741211,0.177799999713898,0,0.701099991798401,139.999980649762,1450.98832954389,100987686,313429,322.202750862237,24.79
"ZAF","South Africa","ZAF",0,"Africa",0,"South",6.8600001335144,0.322200000286102,16,0.104499995708466,15.4999989811186,7259.02167568157,64007187,1213090,52.7637578415451,18.23
"ZAR","Zaire","ZAR",1,"Africa",0,"South",3.5,0,0,0.949999988079071,240.000013805637,962.948455611302,105789731,2345410,45.1050055214227,24.35
